Species ,Euclidean,Ecomorph 
guamuhaya ,0.31,Twig-Giant 
porcus ,0.32,Twig-Giant 
chamaeleonides ,0.39,Twig-Giant 
barahonae ,0.50,Crown-Giant 
baleatus ,0.51,Crown-Giant 
ricordii,0.53,Crown-Giant 
valencienni ,0.57,Twig
equestris ,0.61,Crown-Giant 
allisoni ,0.65,Trunk-Crown 
vermiculatus ,0.69,Unique 
cuvieri ,0.73,Crown-Giant 
smallwoodi ,0.75,Crown-Giant 
coelestinus ,0.77,Trunk-Crown 
chlorocyanus ,0.79,Trunk-Crown 
porcatus ,0.82,Trunk-Crown 
aliniger ,0.87,Trunk-Crown 
singularis ,0.88,Trunk-Crown 
cristatellus ,0.91,Trunk-Ground 
grahami ,0.94,Trunk-Crown 
cybotes ,0.99,Trunk-Ground 
sagrei,1.00,Trunk-Ground 
evermanni ,1.00,Trunk-Crown 
reconditus ,1.01,Unique 
armouri ,1.01,Trunk-Ground 
fowleri ,1.02,Unique 
jubar ,1.04,Trunk-Ground 
rubribarbus ,1.04,Trunk-Ground 
cooki,1.05,Trunk-Ground 
imias,1.05,Trunk-Ground 
bartschi ,1.06,Unique 
strahmi ,1.07,Trunk-Ground 
lineatopus ,1.07,Trunk-Ground 
mestrei ,1.07,Trunk-Ground 
marcanoi ,1.08,Trunk-Ground 
stratulus ,1.09,Trunk-Crown 
quadriocellifer ,1.09,Trunk-Ground
insolitus ,1.10,Twig
shrevei ,1.11,Trunk-Ground 
whitemani ,1.11,Trunk-Ground 
longitibialis ,1.11,Trunk-Ground 
altitudinalis ,1.11,Trunk-Crown 
angusticeps ,1.12,Twig
gundlachi ,1.12,Trunk-Ground 
distichus ,1.12,Trunk
lucius,1.13,Unique
brevirostris ,1.13,Trunk 
guafe,1.13,Trunk-Ground 
loysiana ,1.14,Trunk
opalinus ,1.18,Trunk-Crown 
centralis ,1.19,Unique
eugenegrahami ,1.26,Unique
christophei ,1.26,Unique 
dolichocephalus ,1.27,Grass-Bush 
argenteolus ,1.29,Unique 
pulchellus ,1.29,Grass-Bush 
placidus,1.33,Twig
krugi ,1.33,Grass-Bush 
hendersoni ,1.33,Grass-Bush 
bahorucoensis ,1.34,Grass-Bush 
guazuma ,1.36,Twig
ophiolepis ,1.36,Grass-Bush 
pumilus ,1.41,Unique 
vanidicus ,1.41,Grass-Bush 
olssoni ,1.46,Grass-Bush 
barbouri ,1.46,Unique
occultus ,1.47,Twig 
alutaceus ,1.52,Grass-Bush 
semilineatus ,1.53,Grass-Bush 
cyanopleurus ,1.55,Grass-Bush 
sheplani ,1.58,Twig
etheridgei,1.60,Unique
