Species ,Distance,Ecomorph  
aliniger ,0.87,Trunk-Crown 
allisoni ,0.65,Trunk-Crown 
altitudinalis,1.11,Trunk-Crown
alutaceus,1.52,Grass-Bush
angusticeps,1.12,Twig
argenteolus,1.29,Unique
armouri ,1.01,Trunk-Ground 
bahorucoensis,1.34,Grass-Bush
baleatus ,0.51,Crown-Giant 
barahonae ,0.5,Crown-Giant 
barbouri,1.46,Unique
bartschi ,1.06,Unique 
brevirostris,1.13,Trunk
terueli,1.19,Unique
chamaeleonides ,0.39,Twig-Giant 
chlorocyanus ,0.79,Trunk-Crown 
christophei,1.26,Unique
coelestinus ,0.77,Trunk-Crown 
cooki,1.05,Trunk-Ground 
cristatellus ,0.91,Trunk-Ground 
cuvieri ,0.73,Crown-Giant 
cyanopleurus,1.55,Grass-Bush
cybotes ,0.99,Trunk-Ground 
distichus,1.12,Trunk
dolichocephalus,1.27,Grass-Bush
equestris ,0.61,Crown-Giant 
etheridgei,1.6,Unique
eugenegrahami,1.26,Unique
evermanni ,1,Trunk-Crown 
fowleri ,1.02,Unique 
grahami ,0.94,Trunk-Crown 
guafe,1.13,Trunk-Ground
guamuhaya ,0.31,Twig-Giant 
garridoi,1.36,Twig
gundlachi,1.12,Trunk-Ground
hendersoni,1.33,Grass-Bush
imias,1.05,Trunk-Ground 
insolitus,1.1,Twig
jubar ,1.04,Trunk-Ground 
krugi,1.33,Grass-Bush
lineatopus ,1.07,Trunk-Ground 
longitibialis,1.11,Trunk-Ground
loysiana,1.14,Trunk
lucius,1.13,Unique
marcanoi ,1.08,Trunk-Ground 
mestrei ,1.07,Trunk-Ground 
occultus,1.47,Twig
olssoni,1.46,Grass-Bush
opalinus,1.18,Trunk-Crown
ophiolepis,1.36,Grass-Bush
placidus,1.33,Twig
porcatus ,0.82,Trunk-Crown 
porcus ,0.32,Twig-Giant 
pulchellus,1.29,Grass-Bush
pumilus,1.41,Unique
quadriocellifer,1.09,Trunk-Ground
reconditus ,1.01,Unique 
ricordii,0.53,Crown-Giant 
rubribarbus ,1.04,Trunk-Ground 
sagrei,1,Trunk-Ground 
semilineatus,1.53,Grass-Bush
sheplani,1.58,Twig
shrevei,1.11,Trunk-Ground
singularis ,0.88,Trunk-Crown 
smallwoodi ,0.75,Crown-Giant 
strahmi ,1.07,Trunk-Ground 
stratulus ,1.09,Trunk-Crown 
valencienni ,0.57,Twig
vanidicus,1.41,Grass-Bush
vermiculatus ,0.69,Unique 
whitemani,1.11,Trunk-Ground
